	diploid	sample_1	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_2	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_3	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_4	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_5	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_6	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_7	sample_8	sample_9
diploid	0.0	9.0	9.0	9.0	8.0	9.0	9.0	8.0	9.0	8.0	8.0	9.0	10.0	8.0	8.0	9.0	8.0	8.0	9.0	9.0	9.0	8.0	8.0	10.0	8.0	8.0	8.0	9.0	8.0	8.0	9.0	9.0	8.0	9.0	8.0	8.0	8.0	9.0	8.0	8.0	10.0	9.0	8.0	9.0	8.0	8.0	8.0	9.0	9.0	9.0	9.0	9.0	8.0	8.0	9.0	9.0	9.0	8.0	8.0	10.0	8.0	9.0	9.0	8.0	8.0	8.0	9.0
sample_1	9.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	4.0	2.0	3.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0
sample_10	9.0	2.0	0.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0
sample_11	9.0	2.0	2.0	0.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	2.0	2.0	2.0	1.0	1.0	1.0	0.0	2.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	1.0	1.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0
sample_12	8.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
sample_13	9.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	0.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	3.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	4.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0
sample_14	9.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	0.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	3.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	4.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0
sample_15	8.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
sample_16	9.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	0.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	0.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0
sample_17	8.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0
sample_18	8.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
sample_19	9.0	3.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	1.0	2.0	0.0	4.0	3.0	2.0	3.0	3.0	1.0	3.0	3.0	3.0	2.0	1.0	5.0	1.0	2.0	1.0	3.0	1.0	1.0	4.0	3.0	2.0	4.0	2.0	1.0	2.0	3.0	1.0	1.0	5.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	0.0	1.0	1.0	4.0	3.0	3.0	1.0	1.0	3.0	2.0	3.0	3.0	1.0	2.0	2.0	3.0
sample_2	10.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	0.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	5.0	3.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	2.0	4.0	2.0	3.0	2.0	3.0	3.0	3.0	5.0	3.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0
sample_20	8.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	4.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0
sample_21	8.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
sample_22	9.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	0.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	3.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	4.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0
sample_23	8.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0
sample_24	8.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0
sample_25	9.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	0.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	3.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	4.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0
sample_26	9.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	0.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	3.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	4.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0
sample_27	9.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	4.0	2.0	3.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0
sample_28	8.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
sample_29	8.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0
sample_3	10.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	5.0	5.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	0.0	4.0	3.0	4.0	4.0	4.0	4.0	1.0	4.0	3.0	5.0	3.0	4.0	3.0	4.0	4.0	4.0	2.0	4.0	5.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	1.0	4.0	4.0	4.0	4.0	6.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0
sample_30	8.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0
sample_31	8.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0
sample_32	8.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0
sample_33	9.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	0.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	3.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	4.0	1.0	2.0	0.0	2.0	1.0	1.0	0.0
sample_34	8.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0
sample_35	8.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	1.0	0.0	4.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0	3.0	1.0	0.0	1.0	2.0	0.0	0.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	1.0	1.0	2.0
sample_36	9.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	4.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	1.0	3.0	2.0	3.0	3.0	3.0	3.0	0.0	3.0	2.0	4.0	2.0	3.0	2.0	3.0	3.0	3.0	1.0	3.0	4.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	0.0	3.0	3.0	3.0	3.0	5.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0
sample_37	9.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	0.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	4.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0
